Bib Key,Title,Abstract,Not in English,Not a scientific paper,Not peer-reviewed,No scalable stream processing,No real-world scenario performance benchmarking and insights,Optimizations,R1,R2,Final decision,Comments,Authors,Year,Publisher,Doi,Source
Green2004752,Processing XML streams with deterministic automata and stream indexes,"We consider the problem of evaluating a large number of XPath expressions on a stream of XML packets. We contribute two novel techniques. The first is to use a single Deterministic Finite Automaton (DFA). The contribution here is to show that the DFA can be used effectively for this problem: in our experiments we achieve a constant throughput, independently of the number of XPath expressions. The major issue is the size of the DFA, which, in theory, can be exponential in the number of XPath expressions. We provide a series of theoretical results and experimental evaluations that show that the lazy DFA has a small number of states, for all practical purposes. These results are of general interest in XPath processing, beyond stream processing. The second technique is the Streaming IndeX (SLK), which consists of adding a small amount of binary data to each XML packet that allows the query processor to achieve significant speedups. As an application of these techniques we describe the XML Toolkit (XMLTK), a collection of command-line tools providing highly scalable XML data processing.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Green, T.J. and Gupta, A. and Miklau, G. and Onizuka, M. and Suciu, D.",2004,ACM Transactions on Database Systems,10.1145/1042046.1042051,scopus-search1.bib
He201063,Comet: Batched stream processing for data intensive distributed computing,"Batched stream processing is a new distributed data processing paradigm that models recurring batch computations on incrementally bulk-appended data streams. The model is inspired by our empirical study on a trace from a large-scale production data-processing cluster; it allows a set of effective query optimizations that are not possible in a traditional batch processing model. We have developed a query processing system called Comet that embraces batched stream processing and integrates with DryadLINQ. We used two complementary methods to evaluate the effectiveness of optimizations that Comet enables. First, a prototype system deployed on a 40-node cluster shows an I/O reduction of over 40% using our benchmark. Second, when applied to a real production trace covering over 19 million machine-hours, our simulator shows an estimated I/O saving of over 50%. Copyright 2010 ACM.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"He, B. and Yang, M. and Guo, Z. and Chen, R. and Su, B. and Lin, W. and Zhou, L.",2010,"Proceedings of the 1st ACM Symposium on Cloud Computing, SoCC '10",10.1145/1807128.1807139,scopus-search1.bib;acm1-search1.bib
Cardellini2016271,On QoS-Aware scheduling of data stream applications over fog computing infrastructures,"Fog computing is rapidly changing the distributed computing landscape by extending the Cloud computing paradigm to include wide-spread resources located at the network edges. This diffused infrastructure is well suited for the implementation of data stream processing (DSP) applications, by possibly exploiting local computing resources. Storm is an open source, scalable, and fault-Tolerant DSP system designed for locally distributed clusters. We made it suitable to operate in a geographically distributed and highly variable environment; to this end, we extended Storm with new components that allow to execute a distributed QoS-Aware scheduler and give self-Adaptation capabilities to the system. In this paper we provide a thorough experimental evaluation of the proposed solution using two sets of DSP applications: The former is characterized by a simple topology with different requirements; the latter comprises some well known applications (i.e., Word Count, Log Processing). The results show that the distributed QoS-Aware scheduler outperforms the centralized default one, improving the application performance and enhancing the system with runtime adaptation capabilities. However, complex topologies involving many operators may cause some instability that can decrease the DSP application availability. © 2015 IEEE.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Cardellini, V. and Grassi, V. and Presti, F.L. and Nardelli, M.",2015,Proceedings - IEEE Symposium on Computers and Communications,10.1109/ISCC.2015.7405527,scopus-search1.bib;web-of-science-search1.bib;ieee2-search1.bib
Karimov20181519,Benchmarking distributed stream data processing systems,"The need for scalable and efficient stream analysis has led to the development of many open-source streaming data processing systems (SDPSs) with highly diverging capabilities and performance characteristics. While first initiatives try to compare the systems for simple workloads, there is a clear gap of detailed analyses of the systems' performance characteristics. In this paper, we propose a framework for benchmarking distributed stream processing engines. We use our suite to evaluate the performance of three widely used SDPSs in detail, namely Apache Storm, Apache Spark, and Apache Flink. Our evaluation focuses in particular on measuring the throughput and latency of windowed operations, which are the basic type of operations in stream analytics. For this benchmark, we design workloads based on real-life, industrial use-cases inspired by the online gaming industry. The contribution of our work is threefold. First, we give a definition of latency and throughput for stateful operators. Second, we carefully separate the system under test and driver, in order to correctly represent the open world model of typical stream processing deployments and can, therefore, measure system performance under realistic conditions. Third, we build the first benchmarking framework to define and test the sustainable performance of streaming systems. Our detailed evaluation highlights the individual characteristics and use-cases of each system. © 2018 IEEE.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,INCLUDED,INCLUDED,,,"Karimov, J. and Rabl, T. and Katsifodimos, A. and Samarev, R. and Heiskanen, H. and Markl, V.",2018,"Proceedings - IEEE 34th International Conference on Data Engineering, ICDE 2018",10.1109/ICDE.2018.00169,scopus-search1.bib;web-of-science-search1.bib;ieee3-search1.bib;scholar.bib
Lohrmann2015399,Elastic Stream Processing with Latency Guarantees,"Many Big Data applications in science and industry have arisen, that require large amounts of streamed or event data to be analyzed with low latency. This paper presents a reactive strategy to enforce latency guarantees in data flows running on scalable Stream Processing Engines (SPEs), while minimizing resource consumption. We introduce a model for estimating the latency of a data flow, when the degrees of parallelism of the tasks within are changed. We describe how to continuously measure the necessary performance metrics for the model, and how it can be used to enforce latency guarantees, by determining appropriate scaling actions at runtime. Therefore, it leverages the elasticity inherent to common cloud technology and cluster resource management systems. We have implemented our strategy as part of the Nephele SPE. To showcase the effectiveness of our approach, we provide an experimental evaluation on a large commodity cluster, using both a synthetic workload as well as an application performing real-time sentiment analysis on real-world social media data. © 2015 IEEE.",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,EXCLUDED,EXCLUDED,,,"Lohrmann, B. and Janacik, P. and Kao, O.",2015,Proceedings - International Conference on Distributed Computing Systems,10.1109/ICDCS.2015.48,scopus-search1.bib;web-of-science-search1.bib;ieee2-search1.bib
Venkataraman2017374,Drizzle: Fast and Adaptable Stream Processing at Scale,"Large scale streaming systems aim to provide high throughput and low latency. They are often used to run mission-critical applications, and must be available 24x7. Thus such systems need to adapt to failures and inherent changes in workloads, with minimal impact on latency and throughput. Unfortunately, existing solutions require operators to choose between achieving low latency during normal operation and incurring minimal impact during adaptation. Continuous operator streaming systems, such as Naiad and Flink, provide low latency during normal execution but incur high overheads during adaptation (e.g., recovery), while micro-batch systems, such as Spark Streaming and FlumeJava, adapt rapidly at the cost of high latency during normal operations. Our key observation is that while streaming workloads require millisecond-level processing, workload and cluster properties change less frequently. Based on this, we develop Drizzle, a system that decouples the processing interval from the coordination interval used for fault tolerance and adaptability. Our experiments on a 128 node EC2 cluster show that on the Yahoo Streaming Benchmark, Drizzle can achieve end-to-end record processing latencies of less than 100ms and can get 2–3x lower latency than Spark. Drizzle also exhibits better adaptability, and can recover from failures 4x faster than Flink while having up to 13x lower latency during recovery. © 2017 Copyright held by the owner/author(s). Publication rights licensed to Association for Computing Machinery.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,INCLUDED,INCLUDED,,,"Venkataraman, S. and Armbrust, M. and Panda, A. and Ghodsi, A. and Ousterhout, K. and Franklin, M.J. and Recht, B. and Stoica, I.",2017,SOSP 2017 - Proceedings of the 26th ACM Symposium on Operating Systems Principles,10.1145/3132747.3132750,scopus-search1.bib;web-of-science-search1.bib;acm2-search1.bib
Mokbel2005343,Continuous query processing of spatio-temporal data streams in PLACE,"The tremendous increase in the use of cellular phones, GPS-like devices, and RFIDs results in highly dynamic environments where objects as well as queries are continuously moving. In this paper, we present a continuous query processor designed specifically for highly dynamic environments (e.g., location-aware environments). We implemented the proposed continuous query processor inside the PLACE server (Pervasive Location-Aware Computing Environments); a scalable location-aware database server developed at Purdue University. The PLACE server extends data streaming management systems to support location-aware environments. These environments are characterized by the wide variety of continuous spatio-temporal queries and the unbounded spatio-temporal streams. The proposed continuous query processor includes: (1) New incremental spatio-temporal operators to support a wide variety of continuous spatio-temporal queries, (2) Extended semantics of sliding window queries to deal with spatial sliding windows as well as temporal sliding windows, and (3) A shared-execution framework for scalable execution of a set of concurrent continuous spatio-temporal queries. Experimental evaluation shows promising performance of the continuous query processor of the PLACE server. © 2005 Springer Science + Business Media, Inc.",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Mokbel, M.F. and Xiong, X. and Aref, W.G. and Hammad, M.A.",2005,GeoInformatica,10.1007/s10707-005-4576-7,scopus-search1.bib;web-of-science-search1.bib
Kolajo2019,Big data stream analysis: a systematic literature review,"Recently, big data streams have become ubiquitous due to the fact that a number of applications generate a huge amount of data at a great velocity. This made it difficult for existing data mining tools, technologies, methods, and techniques to be applied directly on big data streams due to the inherent dynamic characteristics of big data. In this paper, a systematic review of big data streams analysis which employed a rigorous and methodical approach to look at the trends of big data stream tools and technologies as well as methods and techniques employed in analysing big data streams. It provides a global view of big data stream tools and technologies and its comparisons. Three major databases, Scopus, ScienceDirect and EBSCO, which indexes journals and conferences that are promoted by entities such as IEEE, ACM, SpringerLink, and Elsevier were explored as data sources. Out of the initial 2295 papers that resulted from the first search string, 47 papers were found to be relevant to our research questions after implementing the inclusion and exclusion criteria. The study found that scalability, privacy and load balancing issues as well as empirical analysis of big data streams and technologies are still open for further research efforts. We also found that although, significant research efforts have been directed to real-time analysis of big data stream not much attention has been given to the preprocessing stage of big data streams. Only a few big data streaming tools and technologies can do all of the batch, streaming, and iterative jobs; there seems to be no big data tool and technology that offers all the key features required for now and standard benchmark dataset for big data streaming analytics has not been widely adopted. In conclusion, it was recommended that research efforts should be geared towards developing scalable frameworks and algorithms that will accommodate data stream computing mode, effective resource allocation strategy and parallelization issues to cope with the ever-growing size and complexity of data. © 2019, The Author(s).",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,UNCERTAIN,UNCERTAIN,EXCLUDED,RW,"Kolajo, T. and Daramola, O. and Adebiyi, A.",2019,Journal of Big Data,10.1186/s40537-019-0210-7,scopus-search1.bib;web-of-science-search1.bib
Feng2008269,On large-scale peer-to-peer streaming Systems with Network Coding,"Live peer-to-peer (P2P) streaming has recently received much research attention, with successful commercial systems showing its viability in the Internet. Nevertheless, existing analytical studies of P2P streaming systems have failed to mathematically investigate and understand their critical properties, especially with a large scale and under extreme dynamics such as a flash crowd scenario. Even more importantly, there exists no prior analytical work that focuses on an entirely new way of designing streaming protocols, with the help of network coding. In this paper, we seek to show an in-depth analytical understanding of fundamental properties of P2P streaming systems, with a particular spotlight on the benefits of network coding. We show that, if network coding is used according to certain design principles, provably good performance can be guaranteed, with respect to high playback qualities, short initial buffering delays, resilience to peer dynamics, as well as minimal bandwidth costs on dedicated streaming servers. Our results are obtained with mathematical rigor, but without sacrificing realistic assumptions of system scale, peer dynamics, and upload capacities. For further insights, streaming systems using network coding are compared with traditional pull-based streaming in large-scale simulations, with a focus on fundamentals, rather than protocol details. The scale of our simulations throughout this paper exceeds 200, 000 peers at times, which is in sharp contrast with existing empirical studies, typically with a few hundred peers involved. Copyright 2008 ACM.",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,EXCLUDED,EXCLUDED,,,"Feng, C. and Li, B.",2008,"MM'08 - Proceedings of the 2008 ACM International Conference on Multimedia, with co-located Symposium and Workshops",10.1145/1459359.1459396,scopus-search1.bib
Shukla2017,RIoTBench: An IoT benchmark for distributed stream processing systems,"The Internet of Things (IoT) is an emerging technology paradigm where millions of sensors and actuators help monitor and manage physical, environmental, and human systems in real time. The inherent closed-loop responsiveness and decision making of IoT applications make them ideal candidates for using low latency and scalable stream processing platforms. Distributed stream processing systems (DSPS) hosted in cloud data centers are becoming the vital engine for real-time data processing and analytics in any IoT software architecture. But the efficacy and performance of contemporary DSPS have not been rigorously studied for IoT applications and data streams. Here, we propose RIoTBench, a real-time IoT benchmark suite, along with performance metrics, to evaluate DSPS for streaming IoT applications. The benchmark includes 27 common IoT tasks classified across various functional categories and implemented as modular microbenchmarks. Further, we define four IoT application benchmarks composed from these tasks based on common patterns of data preprocessing, statistical summarization, and predictive analytics that are intrinsic to the closed-loop IoT decision-making life cycle. These are coupled with four stream workloads sourced from real IoT observations on smart cities and smart health, with peak streams rates that range from 500 to 10 000 messages/second from up to 3 million sensors. We validate the RIoTBench suite for the popular Apache Storm DSPS on the Microsoft Azure public cloud and present empirical observations. This suite can be used by DSPS researchers for performance analysis and resource scheduling, by IoT practitioners to evaluate DSPS platforms, and even reused within IoT solutions. Copyright © 2017 John Wiley & Sons, Ltd.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,INCLUDED,INCLUDED,,,"Shukla, A. and Chaturvedi, S. and Simmhan, Y.",2017,Concurrency and Computation: Practice and Experience,10.1002/cpe.4257,scopus-search1.bib;web-of-science-search1.bib;scholar.bib
Lu201469,Stream bench: Towards benchmarking modern distributed stream computing frameworks,"While big data is becoming ubiquitous, interest in handling data stream at scale is also gaining popularity, which leads to the sprout of many distributed stream computing systems. However, complexity of stream computing and diversity of workloads expose great challenges to benchmark these systems. Due to lack of standard criteria, evaluations and comparisons of these systems tend to be difficult. This paper takes an early step towards benchmarking modern distributed stream computing frameworks. After identifying the challenges and requirements in the field, we raise our benchmark definition Stream Bench regarding the requirements. Stream Bench proposes a message system functioning as a mediator between stream data generation and consumption. It also covers 7 benchmark programs that intend to address typical stream computing scenarios and core operations. Not only does it care about performance of systems under different data scales, but also takes fault tolerance ability and durability into account, which drives to incorporate four workload suites targeting at these various aspects of systems. Finally, we illustrate the feasibility of Stream Bench by applying it to two popular frameworks, Apache Storm and Apache Spark Streaming. We draw comparisons from various perspectives between the two platforms with workload suites of Stream Bench. In addition, we also demonstrate performance improvement of Storm's latest version with the benchmark. © 2014 IEEE.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,INCLUDED,INCLUDED,,,"Lu, R. and Wu, G. and Xie, B. and Hu, J.",2014,"Proceedings - 2014 IEEE/ACM 7th International Conference on Utility and Cloud Computing, UCC 2014",10.1109/UCC.2014.15,scopus-search1.bib;web-of-science-search1.bib;ieee3-search1.bib;acm1-search1.bib
